sentiment,text
positive,.@HGTV is headed to Nashville in just a few days. Enter the Ultimate Fan Experiences Drawing for a chance to win FR… https://t.co/LK3CcT6WoY
neutral,"The Second Annual #MartellCastforaCure presented by @ChrisYoungMusic and @TH3Legends on Sunday, June 3 will benefit… https://t.co/vOBn2l6SY2"
neutral,TOMORROW! #CMAfest https://t.co/sg8OpubaqW
positive,"Today, we remember those who sacrificed their lives to protect this great nation. #MemorialDay https://t.co/z0anfXAeCQ"
negative,Country Music's biggest stars will step up to strike out cancer at @cityofhope's Celebrity Softball Game on June 9.… https://t.co/Qhj3FTNoKv
neutral,"Don't wait! Order your official #CMAfest merch by Tuesday, May 29th to get it just in time to rock it at the festiv… https://t.co/SMeL1Sh5Od"
positive,Create your own personal animated GIF with your pals at the @DurangoBoots booth in Xfinity Fan Fair X during… https://t.co/4vRnxecHXL
neutral,"Coming to #CMAfest? If you’re in Nashville, use promo code CMAGIVES to get 20% off your @PapaJohnsNASH order and 20… https://t.co/azygHsRUL2"
neutral,"Dust those boots off b/c @HGTV is comin' back to #CMAfest w/ @EricPaslay, @DustinLynch &amp; more! Enter the Ultimate F… https://t.co/qAkRirYPFw"
positive,Who's ready to come rock with us at #CMAfest this year? Be sure to expect some fun surprises from our friends at… https://t.co/74MfFsilfo
positive,We've got your chance to meet some of your favorite Country Music artists and see EXCLUSIVE #CMAfest performances!… https://t.co/hISfsEGIwn
neutral,See everything in one place! Download the official #CMAfest app presented by @Xfinity to see everything you need to… https://t.co/JyaYS9DWqu
positive,"We're two weeks away from #CMAfest! Don't forget to come to Broadway to cool off with @GoRVing! Giveaways, AC, game… https://t.co/JY73BqcGy3"
positive,HURRY! It's the last day to enter to win a signed copy of @TrentHarmon's debut album #YouGotEmAll here:… https://t.co/H80qm6yCtK
neutral,.@JakeOwen &amp; @ColeSwindell added to #CMAfest Nissan Stadium lineup!! Get tix: https://t.co/rBbckYh5A8 https://t.co/eW1E5TtIoa
neutral,"MORE lineups for #CMAfest!
Buy tickets while you still can: https://t.co/rBbckYh5A8 https://t.co/znfUB9Xj35"
positive,Don't miss your chance to get VIP early access to the @CrackerBarrel Country Roads Stage at @Ascend_Amp during… https://t.co/hnl4EWlvjs
neutral,"Look who's coming to the @Opry this summer with @CarrieUnderwood, @BlakeShelton, and more! https://t.co/jRbRzZnr5O https://t.co/p3XzV6PZuF"
neutral,RT @visitmusiccity: The 2019 @NFL Draft is coming to Nashville! Official announcement: https://t.co/b2OQI6fLgQ | @VisitMusicCity | #NFLDraf…
neutral,.@HGTV wants to bring you to #CMAfest! Last day to enter: https://t.co/5RaDcusfyH https://t.co/ec6esycUI4
neutral,"If you spend the ""First Five Minutes"" of your day listening to @TrentHarmon's new album, you'll be HOOKED ?.  Enter… https://t.co/ait617A80i"
positive,.@GoRVing is headed back to #CMAfest to take your festival experience to the next level! Get ready for some fun!… https://t.co/AG229enOEt
positive,Love this @CMAFoundation moment! Happy National #BuyAMusicalInstrumentDay! https://t.co/OmPuB1Fmir
positive,The winner of @AmericanIdol 2018 is...  find out NOW on @ABCNetwork! https://t.co/7b0AFJD0g8
positive,Want to see your favorite Country Music stars up close while supporting a great cause? Head out to the @CityOfHope… https://t.co/wxyzwiQHpA
neutral,The @AmericanIdol LIVE two-night finale starts tonight at 8|7c on @ABCNetwork! https://t.co/EiRDSYIXVX
positive,"Happy birthday, @JonPardi! We're head over boots for you!

Listen: https://t.co/Ee5z1uthV7
Don't miss him performin… https://t.co/LXczsMrP97"
negative,.@FirestoneTires is with us at this year’s #CMAfest. Stop by the Firestone Destination Country Truck at @Xfinity Fa… https://t.co/U7CmXcDxEL
neutral,"RT @DanAndShay: SELF-TITLED ALBUM JUNE 22:
https://t.co/zyRMtWWGAB https://t.co/MNchGEdvbY"
positive,"RT @trentharmon: ITS HERE!!! My DEBUT ALBUM IS HERE, #fam!! All glory to #GOD for this moment . ? (Would mean the world if you picked it up…"
neutral,Check out @DBradbery’s new music video shot at the @CMATheater – it’s 100% “Worth It!” https://t.co/dv7OhuPBj6
positive,"RT @coreysmithmusic: Like most of my material, “Empty Rooms” is drawn from real-life experience. So it made sense to create the video with…"
positive,"Loving @TrentHarmon's new album? ""Cause I Do!"" ? Enter for a chance to win a signed copy of #YouGotEmAll:… https://t.co/SYfBjqAKN7"
positive,"The Radio Disney Country Stage is back in @Xfinity Fan Fair X! @RDCountry 

Tickets: https://t.co/rBbckXZuby https://t.co/BIXmKMjAo5"
positive,"Is it @GeorgeStrait's birthday?

?? Yes     ? No

Happy birthday! Listen: https://t.co/peZg3aMxw0 https://t.co/UiAWYHt542"
positive,"Meet-and-greets &amp; EXCLUSIVE performances! Enter the Ultimate Fan Experiences Drawing starting Tues, May 29 10 AM|CT… https://t.co/HrLX4wCnXE"
positive,RT @runawayjune: Just found out we get to sing the National Anthem at the Chevy Riverfront Stage for #CMAfest. ?? Such an honor! ? https://…
neutral,"Just when you thought we couldn't add any more artists to #CMAfest, we did! 

Download the official CMA Fest app pr… https://t.co/2kQAsdRFUG"
negative,Set up mobile payments on your phone before #CMAfest so you can pay faster at select concession stands and get back… https://t.co/W0TkUOzUhN
neutral,Dress to the nines in #CMAfest merch! Shop here: https://t.co/YZSRVa1dQU https://t.co/CGQxsYA91F
positive,"We love a small town boy like @DustinLynch - happy birthday! Listen: https://t.co/1ZUtuYMvTt

Don't miss him at… https://t.co/u313fzwRQi"
positive,.@CarrieUnderwood is headed back to the @AmericanIdol stage to perform and guest mentor the Top 5 TONIGHT at 8|7c o… https://t.co/R05oEz7qe9
neutral,The @cityofhope Celebrity Softball Game returns to #Nashville on June 9! Be there when Country Music's biggest star… https://t.co/fE0AGvVVBj
positive,"""If I Told You"" it's @DariusRucker's birthday, would you believe us? Happy birthday! Listen:… https://t.co/KtaPLfeeyL"
positive,"Day or night, the music keeps on playing at #CMAfest! ? ? Experience the true ?? of Nashville aboard @nashtrolley’s… https://t.co/6mkuS1ApSM"
neutral,"RT @DierksBentley: Watch

You 
Can't 
Bring 
Me 
Down

Now
On
@AppleMusic 

https://t.co/mlfkI3hx86

#CultivateKindness https://t.co/2TJPFA…"
neutral,RT @russelled: FINALLLYYYY!!! Watch the #BlueTacoma music video NOW on @Vevo ? https://t.co/i9oz7Ot38H https://t.co/pKPqoM044e
positive,RT @jtimberlake: Thank you to the one and only @ChrisStapleton for making an appearance last night in Nashville. Always honored to share th…
positive,Want to meet some of your favorite Country artists at #CMAfest? Use the official app to register for CMA Fest Fan A… https://t.co/lNdIOEzNCJ
positive,Experience the aloha at the @OfficialMauiJim sunglasses booth this year at #CMAfest! The view's better from here.… https://t.co/hYsQxljw9K
positive,RT @coleswindell: This song is so special to me &amp; I’m so excited for y’all to hear it. #TheOnesWhoGotMeHere https://t.co/cD7LLxHq7M
positive,"RT @JordanCWDavis: First time playing the @opry…can’t wait! 

https://t.co/oQCkZDNKqn. https://t.co/QvyAyf4p4j"
positive,"RT @tenilletownes: This song, and its permission to ask God the hard questions, is so important to me. Losing people we love is hard. Somet…"
negative,".@TheWildFeathers stopped by our office to give us a taste of what YOU can hear at #CMAfest. Their new album, “Gree… https://t.co/JgAt64gZGF"
positive,"Last night, the #CMAFoundation honored 34 Music Teachers of Excellence from across the country for… https://t.co/Pv5V1Pq1QP"
neutral,RT @carrieunderwood: Watch the official #CryPretty music video now! -TeamCU https://t.co/ryVbINeB0m
neutral,"""Rays of gold are shining on ya"" for your birthday, Russell Dickerson! See ya at #CMAfest! @Russelled 

Listen:… https://t.co/hLPg9u124Z"
positive,RT @carrieunderwood: Watch @AmericanIdol tonight to get a worldwide exclusive look at my new music video for #CryPretty !! Live show starts…
positive,"RT @lukecombs: When I woke up this morning and saw ""Beautiful Crazy"" as the No. 1 OVERALL song on iTunes, all I could think was that I have…"
positive,RT @barkbox: DOES YOUR DOG LOVE COUNTRY MUSIC BECAUSE HE IS HIS OWN MAN WITH HIS OWN TASTES? Then enter to win our DOG FRIENDLY trip to Nas…
positive,LAST CHANCE! #CMAfest Grab Bag sale ends at 11:59 PM PT tonight. Buy here: https://t.co/YZSRVaiOIs https://t.co/4U9fihJZJn
neutral,"RT @Sugarlandmusic: You’ve got each other, that’s your #Mother. ? Watch the lyric video now!
https://t.co/08iKhzDypO https://t.co/AAr9Tfk77r"
positive,RT @DrakeWhite: Alternate cover from an alternate universe. So excited to finally share PIECES with you all. #maythefourthbewithyou #starwa…
neutral,RT @carrieunderwood: Coming soon… #CryPretty https://t.co/Rc0ZotYYlC
positive,".@barkbox wants to send you, your friend, and your dog (yes, your dog) on a dream vacation to Nashville for… https://t.co/qd67PAHLir"
negative,RT @coreysmithmusic: This ain’t no cookie-cutter shit… Empty Rooms is available now! #GreatWideUnderground Listen now: https://t.co/BWKkbxz…
positive,"""Queens Don't"" go ""Kissin' Frogs"" on their birthdays, they celebrate! Happy birthday to the fabulous @RaeLynn! List… https://t.co/U7NApqDdXu"
positive,"Happy birthday, @RandyTravis! We'll be listening to your music for ""as long as old men sit and talk about the weath… https://t.co/BUFG1r7Qz9"
neutral,"RT @DanAndShay: #ALLTOMYSELF | AVAILABLE NOW ?

https://t.co/yUTPVwelXm https://t.co/23ebtQfuZN"
negative,"RT @saraevansmusic: I had so much fun in Cincinnati yesterday for the #CMASongwritersSeries presented by @usbank with @trentharmon, Rob Hat…"
positive,RT @ericpaslay: Great day in #Cincinnati with @saraevansmusic @trentharmon and #RobHatch  getting to gift instruments to kids thanks to @cm…
positive,"RT @usbank: One school down, three to go. Cincinnati’s Roselawn Elementary School just received a music makeover thanks to #USBank and @Cou…"
positive,? STOP what you are doing! ? It's the last day to enter to win a signed copy of @AshleyMonroe's album #Sparrow :… https://t.co/gncDjwX2WC
positive,"Be the best dressed with BRAND NEW #CMAfest merch! For 48 hours only, buy the $35 Grab Bag (a $49 value), which inc… https://t.co/5A1USc3A1l"
neutral,"Time to kickoff summer at the 2018 #WangoTango! ? 

Head to the @ATT Twitter Account to watch performances from… https://t.co/V0hlEy0LBL"
neutral,? https://t.co/6viu5hnkiQ
positive,"""I hope it comforts ppl who hear it pls"" - @ArianaGrande ?? https://t.co/QBBcsXNoHR"
positive,"But whyyyyy is it so hard to choose? ?? 

Click here for more Pride anthems: https://t.co/ScYmjv3aev https://t.co/PTNDZTsuRL"
neutral,Kanye West is really pushing boundaries with some of his raps off #Ye https://t.co/H8ALd55MDP
neutral,Kendrick Lamar is officially #PulitzerKenny https://t.co/raScoZl5CN
neutral,"Uh, is every @ArianaGrande song an option? ? #WangoTango https://t.co/lllKmbJywf"
neutral,.@taylorswift13 took a break from her epic tour for a date night with Joe Alwyn ?? https://t.co/c9hql6r7GG
positive,"Don't miss out on performances from @ArianaGrande, @ShawnMendes, @5SOS and more this Saturday at #WangoTango! Watch… https://t.co/OGIN1irqON"
positive,Blessing your feed because Perrie Edwards of @LittleMix is truly perfect ?? https://t.co/SEfHXWrkCz
negative,"I guess Takeoff didn't actually take off ??

(....I'm so sorry for this joke) https://t.co/XbRmPUWuNa"
positive,RT @Meghan_Trainor: Are you ready to #TurnUpTheLove? ??? Join me LIVE at @iHeartRadio’s Wango Tango by @ATT this Saturday at 7pm PT/10pm ET…
neutral,RT @ATT: Pop ? over to the livestream of the @iHeartRadio #WangoTango concert! It's streaming here LIVE at 7PM PT 6/2. https://t.co/oWbEZQv…
positive,".@HaleyReinhart's video for her jazzy new single ""Last Kiss Goodbye"" is a romantic summer dream ? https://t.co/xIIVKegH8e"
positive,"RT @Camila_Cabello: HAPPY PRIDE MONTH MY DARLINGS !!! i love the LGBTQ+ community so much, and to all of my fans in the community, you guys…"
positive,Take a walk down memory lane and relive some of our favorite #WangoTango moments: https://t.co/QVOxk1TMDh https://t.co/ouCWEZENjC
neutral,"Counting down the hours/minutes/seconds until I get to see @1LoganHenderson at #WangoTango Village tomorrow, hbu? ? https://t.co/AMF1PW40s3"
positive,TOMORROW! This is going to be the place to be in LA! Join us at 7PM PT /10PM ET for our 2018 iHeartRadio… https://t.co/eEsvy1uLNt
positive,So proud of @LiamPayne for his first headlining show in NYC! ?https://t.co/J8dvboocQm
neutral,Tune into the #WangoTango live stream on Twitter @ATT on Saturday June 2 at 7pm PT for performances by… https://t.co/G9a93zNP63
positive,"""I hope to create anthems for you that wrap you up with comfort and make you get your best life for as long as I li… https://t.co/hxx7IUKFTh"
positive,"Whose #WangoTango performance are you looking forward to? ??

Don't forget, you can watch  with us tomorrow on the… https://t.co/psOIT5pSkm"
positive,The iHeartRadio Artist of the week is @lukecombs. We're so proud to see his successful career grow. From being a pr… https://t.co/AM8OkmQ26a
neutral,You have to see all the stars that made cameos in @maroon5 + @iamcardib's video for #GirlsLikeYou:… https://t.co/qPRYnOEwwI
positive,You oughta know that today is @Alanis' birthday! Happy Birthday ? https://t.co/eRQWjDn94K
neutral,"Bride-to-be and #WangoTango performer @Meghan_Trainor walked us through her wedding plans! ?

https://t.co/3BL3vZNh1X"
negative,99.9999% of my time spent looking at this pic was me crying over how cute Toulouse is ? #CutestPet https://t.co/GTxNgzTxB5
positive,"Have I talked about how proud I am of @BTS_twt lately? (probably, yes) ? https://t.co/VU3fd5qlVT"
positive,Kanye West shot the album cover on his way to the album listening party: https://t.co/rJAkezjgJP https://t.co/pYYCiZ89YN
positive,Would your rather be #Nervous like @ShawnMendes or #Confident like @ddlovato? ? https://t.co/kmTXBik2eB
positive,"My heart melts every time I see pics of @HaileeSteinfeld + @NiallOfficial, honestly ?https://t.co/g9NWc32FP1"
negative,Tweet us random words using #iHeartRoyceda59 and @Royceda59 will drop a freestyle with them ? https://t.co/Rox9CpvqDv
positive,My excitement level knowing I get to see @5SOS at #WangoTango tomorrow ?? https://t.co/KismYJbDVt
neutral,RT @Michaelraymusic: FINALLY #AMOS is out today &amp; you can watch me answer the questions you've been sending to the @bobbybonesshow.   thank…
positive,"RT @Michaelraymusic: thanks to my friends @iHeartRadio, @cmt and especially @CodyAlan for the invite to be on the show for my @iHeartCountr…"
positive,RT @dvsndvsn: We just did @AskAnythingChat for our friends at @SteveHarveyFM https://t.co/zwJLsTnjO7. Thanks to @IAmSteveHarvey @iHeartRadi…
neutral,"Can’t catch your favs at #WangoTango this weekend? We've got you covered! ?

Watch performances from @ArianaGrande,… https://t.co/mW93f3PPak"
positive,A @Zedd + @ShawnMendes collab is on the way and I haven't stopped yelling ? https://t.co/HVFYBXSUZn
neutral,Don't expect to see @Camila_Cabello aimlessly scrolling through social media anytime soon ??https://t.co/9HKlymZrI3
positive,"In honor of Pride and the LGBTQ community, listen to 'Pride Radio' on iHeartRadio to celebrate free love.

??:… https://t.co/VB7eDZQw98"
positive,"Don't miss out on performances from @ArianaGrande, @ShawnMendes, @5SOS and more this Saturday at #WangoTango! Watch… https://t.co/KBmJ6h8u9R"
neutral,"""I think that's something we can all do: we can all learn from this conversation."" ? @charli_xcx https://t.co/0rPzAhnjpT"
positive,My love for @HaileeSteinfeld knows no bounds ? https://t.co/LspPIdwXkr
positive,"The music video for ""Girls Like You"" features cameos from @Camila_Cabello, @RitaOra, @maryjblige + more ? https://t.co/OUlOsT1pPd"
neutral,? @Drake apparently knew about his secret baby since day one https://t.co/POZm8gmfon
neutral,Biiiiiig mood ? | @DUALIPA https://t.co/hts4QgqwUH
positive,RT @ATT: This night is gonna pop! ? Get ready for @iHeartRadio #WangoTango! Streaming here LIVE on June 2nd at 7pm PT. https://t.co/VcJUBD2…
positive,? @NICKIMINAJ is spilling some major tea about her upcoming #Queen album and sharing some great relationship advice https://t.co/7oqcFSbGDU
neutral,Can't wait to see these boys at #WangoTango Village on Saturday ? | @JackAndJack https://t.co/pNdrxby683
neutral,Me to donuts 20 minutes after starting my diet ? | @selenagomez https://t.co/HuIwsv5MAi
neutral,Would you rather be #Friends with @marshmellomusic and @AnneMarie or @justinbieber and @bloodpop? ? https://t.co/IAaJm8kNa4
neutral,RT @Aly_Raisman: ? https://t.co/K1cKpheHDK
neutral,? Y E S ? https://t.co/qRHA6fYGhE
neutral,Mood when your mom says you're having pizza for dinner ? | @BebeRexha https://t.co/irz395lwEk
negative,Cardi B just realized Childish Gambino and Donald Glover are the same person: https://t.co/lRroJkorZd https://t.co/41TqoblX3k
positive,Can we treat every day like it's @Normani's birthday? ? https://t.co/MHfwLCostk
neutral,Ever wonder what the @backstreetboys think of their old #TBT photos? ? https://t.co/aN6MZgWTAC
positive,"Now with @Logic301 on our #iHeartDayStage lineup, it's a perfect time to go buy tickets and join us in Vegas this S… https://t.co/eo6DFQubna"
neutral,19 facts you didnt know about the 2018 #WangoTango performers: https://t.co/mDk0J7ygHQ https://t.co/eoaMzTgOER
positive,"Pssst, @jackaverymusic is the modern day Jack Dawson. Tell your friends!!!! ?? (you make a beautiful Rose,… https://t.co/bEFCdY4IYg"
neutral,@arianatorfrvvr @ArianaGrande @ShawnMendes @backstreetboys @ATT Show starts at 10PM Eastern Time and 7PM Pacific Time. #WangoTango
neutral,Everything you need to know about the Drake + Pusha T beef: https://t.co/s1CFdLKxQg https://t.co/CpWwo5WaAe
positive,"? @ArianaGrande, @ShawnMendes, @backstreetboys + so many more amazing artists will take the #WangoTango stage this… https://t.co/ZMqaMfdRa6"
positive,"Hey @ShawnMendes, do you want to get a 6th tattoo? @Logic301 wants to know... ? #WangoTango

https://t.co/yBFKW3qFEV"
neutral,The anthems you need to hear while going through a breakup: https://t.co/8gEqbOCEWO https://t.co/LYaNMw3TCc
negative,Offset found the man who saved his life after his recent accident and bought him a brand new car:… https://t.co/3ht8gr8Zlm
neutral,"RT @ATT: Catch an incredible night of music featuring @Meghan_Trainor &amp; more at @iHeartRadio #WangoTango! Streaming here LIVE, 6/2, 7PM PT.…"
neutral,"?  ?  @Logic301 #iHeartDayStage 

https://t.co/l5FHiRPRjI https://t.co/uJ8Eza5pWc"
positive,Let's GO! Happy to announce that @Logic301 will be joining our stacked #iHeartDayStage lineup this fall in Las Vega… https://t.co/VoE79ll1IS
positive,Honestly @samsmithworld's skin in this pic is brighter than my future https://t.co/ZLMiCZPPct
positive,A @iamcardib remix of @maroon5's 'Girls Like You' is dropping tomorrow: https://t.co/oeJTYINkzD ? https://t.co/Fb6upVNjNX
neutral,Pete Davidson + @ArianaGrande made it Instagram official yesterday with the most magical picture... literally:… https://t.co/jmNaqtibSb
positive,Which @ShawnMendes track are you hoping to hear at #WangoTango this Saturday? ? https://t.co/ZfWsfeBpjH
negative,".@MileyCyrus is back in the studio making ""heartbreaking tunes"" with @MarkRonson: https://t.co/8mIxHV06l7 https://t.co/I0vJssgEuI"
negative,?? @ArianaGrande teased a new #Sweetner track about her anxiety: https://t.co/Lrp08k314D https://t.co/IlW3syTgxH
positive,"This is your LAST CHANCE to enter, so what are you waiting for? You can have a private dinner with the one and only… https://t.co/JY40mH41Mj"
positive,"Happy Birthday to the queen of my heart, Normani ? https://t.co/JVUx5ZVNUW"
neutral,#TheFour is back! Tune in to the season 2 premiere of @TheFourOnFox on June 7th @ 8/7 CT https://t.co/nG5HgERmtF
neutral,can’t wait bb ? #WangoTango https://t.co/qOOzzoCCSC
positive,RT @ATT: This lineup is ?. Catch your favorite pop stars like @Meghan_Trainor and @ShawnMendes at @iHeartRadio #WangoTango. Streaming here…
positive,RT @Zedd: @iHeartRadio @ShawnMendes You will get it :)
positive,"From @DUALIPA's 'New Rules' to @ArianaGrande's 'Problem,' here are the 10 best songs to listen to after a breakup:… https://t.co/1Ask9R9ZlB"
positive,@Zedd @ShawnMendes this is AMAZING news!!!! ?
negative,"I'm sorry for yelling, but I really need a @ShawnMendes and @Zedd collab!!! ??? https://t.co/WH53th9rkP"
neutral,".@JLo takes us behind the scenes of the ""Dinero"" music video ft. @iamcardib + @djkhaled: https://t.co/Kdf4GaQvgH ? https://t.co/vXmNbm3sxT"
positive,Kendrick Lamar took a break from the TDE Championship Tour to accept his Pulitzer prize for DAMN.:… https://t.co/4p81ULcaXd
neutral,"I'll be wearing this rainbow eye look for the rest of my life, tysm @RitaOra ? https://t.co/6DqsqU97Lu"
negative,This child support battle is getting MESSY ? https://t.co/5zjuAKvADy
positive,Here's a lil' #WednesdayWisdom of @ddlovato speaking about true friends ? https://t.co/d4T2V5sZ6q
neutral,16 songs that will give you allllll the graduation feels: https://t.co/ydd7qF2AMo ? https://t.co/x6zeyBUsan
positive,"So, uh, @SnoopDogg just set the record for the world's largest gin &amp; juice and it's the best thing I've seen today:… https://t.co/9Apqsnjf1L"
neutral,"?

@HayleyKiyoko 
@Kehlani https://t.co/KopNXuZKer"
positive,Would you rather be an #Entertainer like @zaynmalik or #Entertain like @Sleater_Kinney? ? https://t.co/24hOskusIW
positive,Oh snap! @brycevine will be performing at the FREE #WangoTango Village this Saturday! ? https://t.co/ICdiCsOnwl
neutral,"After about six months and hundreds of tweets, but @Weezer finally released a cover of Toto's 1982 hit, ""Africa"" on… https://t.co/ffhkiQvWYi"
negative,Kim Kardashian will be meeting with Trump today to discuss prison reform: https://t.co/giOjWYkZG3 https://t.co/RrUWSA5UNs
positive,"Blessing your feed with our mother monster, @ladygaga  ? https://t.co/LFnLhevBFA"
neutral,? @LiamPayne just announced his first headlining show at the Beacon Theatre on June 20: https://t.co/wCEFWTxDV6 https://t.co/mE5zXrz0Lv
neutral,RT @KISSFMPhoenix: The guys of @5SOS will be at our @iHeartRadio #WangoTango this Saturday! Will you be there too?! Get ticket info here #5…
neutral,"Fingers crossed that @ShawnMendes + @5SOS actually stage dive together at #WangoTango this Saturday ? 

https://t.co/GLM8l8mpOJ"
neutral,"""My manager called @MusiCares and they helped me with a psych evaluation, medication and psychotherapy."" Here's how… https://t.co/CEsoJX1Cdk"
negative,"Hours after @charli_xcx teased she is ""going to release a lot music this year,"" British singer/songwriter released… https://t.co/ITpcK4LRoX"
positive,"The video for @KeshaRose's heartfelt anthem ""Hymn"" is delivered with a special intention. It been dedicated to… https://t.co/TIs3DrfDVM"
positive,"At a historic moment for millions, GRAMMY winner @KendrickLamar made hip-hop and American literary history.  At the… https://t.co/ztPgDAAou5"
positive,"WATCH: Get an exclusive look at the brand-new video for Pleasure P's (@Marcus_Cooper) new summery single, ""Could Yo… https://t.co/mi2fUdaGgw"
positive,"After months of anticipation, the new #KanyeWest album is here! 'Ye,' the seven-song, 23-minute album opens with th… https://t.co/bFKRoIVnKn"
positive,"We have the EXCLUSIVE video premiere of Pleasure P's (@Marcus_Cooper) ""Could You Love Me"" featuring Flo Rida (… https://t.co/hj8f2s8QQS"
positive,"#Folk songstress @AmberRubarth reveals which coast she prefers, her favorite place to listen to #music, the first c… https://t.co/4qeKMzOfge"
positive,"GRAMMY winners @Maroon5 have released a star-studded video for the remix of ""Girls Like You"" featuring @iamcardib!… https://t.co/s7snF1Liqy"
positive,"Chicago's @RiotFest has announced its first wave of artists for this year's festival. Performers include @Blink182,… https://t.co/75xR1lWZlI"
positive,".@JacobyShaddix of @PapaRoach knows firsthand that the real power of music and lyrics can save a life. ?

Along wit… https://t.co/oxKTINowt3"
positive,There's a wealth of socially conscious music and @BodyCountBand — fronted by Ice T (@FINALLEVEL) — got political wi… https://t.co/ZtckayEm3j
neutral,"You can expect @NICKIMINAJ's new album on June 15, which will be followed by the documentary #MakingOfQueen, showin… https://t.co/c5TZgOg5IC"
positive,It looks like #Apple has created a new international music publishing division. Find out what the move into publish… https://t.co/kSZD1CkRoL
positive,Get ready for the #BETAwards happening June 24! @iamjamiefoxx is set to host the award show with performances from… https://t.co/QZQaIae782
neutral,Additional comment from Recording Academy President/CEO Neil Portnow on his leadership role.… https://t.co/WckP5CbIeO
neutral,Statement from Recording Academy President/CEO Neil Portnow regarding preparations for future leadership transition… https://t.co/Raq4gHWv3z
neutral,.@StubHub released their fourth annual report on the hottest in-demand summer 2018 tours by the numbers and GRAMMY… https://t.co/pOxxvgRnrj
positive,"In an exclusive op-ed, @TheBrentSmith and Eric Bass (@ebassprod) of @Shinedown share why the time was right to tack… https://t.co/3ruWyYBhe4"
positive,"From Dublin, Ireland, to Nashville, Tenn., @U2 made a special stop at Jack White's @ThirdManRecords studio to recor… https://t.co/LmEBaGQzwS"
neutral,".@KeshaRose made music out of her emotions that many fans can relate to. 

? Browse through more quotes from artist… https://t.co/tNqiBD8CbI"
positive,"Good news @Halestorm fans! Today, the band premiered their brand-new single, ""Uncomfortable,"" along with revealing… https://t.co/Y6KDSkN2GK"
negative,".@AJRBrother found their unique sound the hard way, by cutting their teeth busking on the streets of #NYC ? We sat… https://t.co/NGJSenqTBz"
positive,"With four new EPs stitching together as her fourth studio album, 'R.O.S.E,' GRAMMY nominee @JessieJ is ready to bri… https://t.co/9EjC4jmI9I"
positive,"A fan was able to get @RiversCuomo and @Weezer to cover Toto's ""Africa."" ? Drop what you're doing and listen:… https://t.co/wnGDKGvUGt"
positive,It seems Demi Lovato (@ddlovato) has had plenty of inspiration to push forward with new music of her own coming. Sh… https://t.co/Tk8LoD3ZUW
negative,It's almost hard to imagine that @BebeRexha has yet to release a full-length studio album considering we've heard h… https://t.co/WoR1Kq9rDC
positive,"K-pop septet @BTS_twt can add ""Billboard top seller"" to their list of achievements thanks to their May 18 release '… https://t.co/vCu3sZrhjJ"
positive,"Just like GRAMMY winner @MariahCarey did, surround yourself with positive people. 

Along with our charity,… https://t.co/l3ecQKKpqH"
neutral,"Get out your tie-dye and bandanas — the '60s counterculture musical phenomenon, '#Hair,' is coming to a TV screen n… https://t.co/hBaZqwcawC"
neutral,Florence (@flo_tweet) + The Machine will hit the road for a 23-date tour through North America this fall following… https://t.co/BvlXzBWvm0
positive,"We’re LIVE with GRAMMY winner @ZiggyMarley from our headquarters in Santa Monica, CA! ? Watch his exclusive… https://t.co/z8a586hab5"
neutral,"Drake delivers ""I'm Upset,"" the latest single from his highly anticipated fifth full-length album, 'Scorpion.'

Tak… https://t.co/KPAgaqiaxP"
neutral,"RT @ziggymarley: We coming to you LIVE this afternoon !

Check the @RecordingAcad Facebook page at 1:30p PT for the stream as we jam #acous…"
positive,RT @GRAMMYAdvocacy: #US copyright law could finally be entering the 21st century — and it’s good news for engineers and producers. Here's w…
positive,"TODAY, we're going live on our #Facebook with GRAMMY winner @ZiggyMarley! ? Don't miss the exclusive performance at… https://t.co/5FsPlDWpEb"
positive,"We agree with GRAMMY winner @KendrickLamar, music is our therapy.

? Browse through more #quotes from artists who h… https://t.co/pUkK3mb1D6"
positive,Attention all singers! Interested in maximizing your voice? @MusiCares and singers from various genres and backgrou… https://t.co/yt51VYzXZ7
positive,"For @elliegoulding, creating music is an avenue to release her feelings. 

Along with our charity, @MusiCares, lear… https://t.co/7YGpQ6vEUP"
positive,".@ShawnMendes shares the inspiration behind his latest LP, what he plans to do on days off while touring, and what… https://t.co/Y0BbGfv7dE"
positive,Puerto Rican reggaetón artist and Latin GRAMMY winner @NickyJamPR released the official song of the 2018… https://t.co/UNej0XLN44
neutral,What genre is currently on your #playlist this #MemorialDayWeekend?
neutral,We sat down with @BrandonVDixon to talk about different philanthropic efforts and describes that music provides him… https://t.co/tMyEhF8v1t
positive,"We gathered a list of the bands who are ready to carry the torch for rock and roll! ? ?  U.S. Girls (@YouSGirls),… https://t.co/ZnF8A4pa5z"
positive,Steve Hackman encourages his audience to think differently about what they hear after intermission for… https://t.co/g2Wccix6zS
positive,"Being honest and expressing yourself will help you set free. 

? Learn about all of the services that @MusiCares pr… https://t.co/jhrLUIBsvW"
positive,"We want to know, what are you listening to this #MemorialDayWeekend? ? https://t.co/Ehjwr5DUv7"
positive,Interested in maximizing the musical use of the world's first instrument: the voice? @MusiCares and singers from va… https://t.co/wHLIsipsCq
neutral,".@GunsNRoses' debut album, 'Appetite For Destruction,' captured rock and roll swagger — on its way to becoming the… https://t.co/oPmqrcANM9"
